financial_year,sphere,geographic_region,vote_number,department_name,chapter_title
2015,provincial,Eastern Cape,1,Office of the Premier,Vote 01 : Office of the Premier
2015,provincial,Eastern Cape,2,Provincial Legislature,Vote 02 : Provincial Legislature
2015,provincial,Eastern Cape,3,Health,Vote 03 : Health
2015,provincial,Eastern Cape,4,Social Development,Vote 04 : Social Development
2015,provincial,Eastern Cape,5,Roads and Public Works,Vote 05 : Roads and Public Works
2015,provincial,Eastern Cape,6,Education,Vote 06 : Education
2015,provincial,Eastern Cape,7,Local Government and Traditional Affairs,Vote 07 : Local Government and Traditional Affairs
2015,provincial,Eastern Cape,8,Rural Development and Agrarian Reform,Vote 08 : Rural Development and Agrarian Reform
2015,provincial,Eastern Cape,9,"Economic Development, Environmental Affairs and Tourism","Vote 09 : Economic Development, Environmental Affairs and Tourism"
2015,provincial,Eastern Cape,10,Transport,Vote 10 : Transport
2015,provincial,Eastern Cape,11,Human Settlements,Vote 11 : Human Settlements
2015,provincial,Eastern Cape,12,Provincial Treasury,Vote 12 : Provincial Treasury
2015,provincial,Eastern Cape,14,"Sport, Art and Culture","Vote 14 : Sport, Art and Culture"
2015,provincial,Eastern Cape,15,Safety and Liaison,Vote 15 : Safety and Liaison
2015,provincial,Free State,1,Office of the Premier,Vote 01 : Office of the Premier
2015,provincial,Free State,2,Free State Legislature,Vote 02 : Free State Legislature
2015,provincial,Free State,3,"Economic Development, Tourism and Environmental Affairs","Vote 03 : Economic Development, Tourism and Environmental Affairs"
2015,provincial,Free State,4,Provincial Treasury,Vote 04 : Provincial Treasury
2015,provincial,Free State,5,Health,Vote 05 : Health
2015,provincial,Free State,6,Education,Vote 06 : Education
2015,provincial,Free State,7,Social Development,Vote 07 : Social Development
2015,provincial,Free State,8,Cooperative Governance and Traditional Affairs,Vote 08 : Cooperative Governance and Traditional Affairs
2015,provincial,Free State,9,Public Works,Vote 09 : Public Works
2015,provincial,Free State,10,"Police, Roads and Transport","Vote 10 : Police, Roads and Transport"
2015,provincial,Free State,11,Agriculture and Rural Development,Vote 11 : Agriculture and Rural Development
2015,provincial,Free State,12,"Sport, Arts, Culture and Recreation","Vote 12 : Sport, Arts, Culture and Recreation"
2015,provincial,Free State,13,Human Settlements,Vote 13 : Human Settlements
2015,provincial,Gauteng,1,Office of the Premier,Vote 01 : Office of the Premier
2015,provincial,Gauteng,2,Provincial Legislature,Vote 02 : Provincial Legislature
2015,provincial,Gauteng,3,Economic Development,Vote 03 : Economic Development
2015,provincial,Gauteng,4,Health,Vote 04 : Health
2015,provincial,Gauteng,5,Education,Vote 05 : Education
2015,provincial,Gauteng,6,Social Development,Vote 06 : Social Development
2015,provincial,Gauteng,7,Cooperative Governance and Traditional Affairs,Vote 07 : Cooperative Governance and Traditional Affairs
2015,provincial,Gauteng,8,Human Settlements,Vote 08 : Human Settlements
