department_name,geographic_region,name,normalised_path,path,url,financial_year,sphere
Office of the Premier,Eastern Cape,Vote 01 : Office of the Premier,etl-data/normalised/2017/Eastern Cape/Vote 01 : Office of the Premier.xlsm,etl-data/2017/Eastern Cape/EC - Office of the Premier.xlsm,,2017,provincial
Office of the Premier,Eastern Cape,Vote 01 : Office of the Premier,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 01 - Office of the Premier.pdf,2017,provincial
Provincial Legislature,Eastern Cape,Vote 02 : Provincial Legislature,etl-data/normalised/2017/Eastern Cape/Vote 02 : Provincial Legislature.xlsm,etl-data/2017/Eastern Cape/EC - Provincial Legislature.xlsm,,2017,provincial
Provincial Legislature,Eastern Cape,Vote 02 : Provincial Legislature,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 02 - Provincial Legislature.pdf,2017,provincial
Health,Eastern Cape,Vote 03 : Health,etl-data/normalised/2017/Eastern Cape/Vote 03 : Health.xlsm,etl-data/2017/Eastern Cape/EC - Health.xlsm,,2017,provincial
Health,Eastern Cape,Vote 03 : Health,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 03 - Health.pdf,2017,provincial
Social Development,Eastern Cape,Vote 04 : Social Development,etl-data/normalised/2017/Eastern Cape/Vote 04 : Social Development.xlsm,etl-data/2017/Eastern Cape/EC - Social Development.xlsm,,2017,provincial
Social Development,Eastern Cape,Vote 04 : Social Development,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 04 - Social Development.pdf,2017,provincial
Roads and Public Works,Eastern Cape,Vote 05 : Roads and Public Works,etl-data/normalised/2017/Eastern Cape/Vote 05 : Roads and Public Works.xlsm,etl-data/2017/Eastern Cape/EC - Roads and Public Works.xlsm,,2017,provincial
Roads and Public Works,Eastern Cape,Vote 05 : Roads and Public Works,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 05 - Road and Public works.pdf,2017,provincial
Education,Eastern Cape,Vote 06 : Education,etl-data/normalised/2017/Eastern Cape/Vote 06 : Education.xlsm,etl-data/2017/Eastern Cape/EC - Education.xlsm,,2017,provincial
Education,Eastern Cape,Vote 06 : Education,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 06 - Education.pdf,2017,provincial
Cooperative Governance and Traditional Affairs,Eastern Cape,Vote 07 : Cooperative Governance and Traditional Affairs,etl-data/normalised/2017/Eastern Cape/Vote 07 : Cooperative Governance and Traditional Affairs.xlsm,etl-data/2017/Eastern Cape/EC - CoGTA.xlsm,,2017,provincial
Cooperative Governance and Traditional Affairs,Eastern Cape,Vote 07 : Cooperative Governance and Traditional Affairs,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 07 - Coop Gov and Traditional Affairs.pdf,2017,provincial
Rural Development and Agrarian Reform,Eastern Cape,Vote 08 : Rural Development and Agrarian Reform,etl-data/normalised/2017/Eastern Cape/Vote 08 : Rural Development and Agrarian Reform.xlsm,etl-data/2017/Eastern Cape/EC - Rural Dev. and Agrarian Reform.xlsm,,2017,provincial
Rural Development and Agrarian Reform,Eastern Cape,Vote 08 : Rural Development and Agrarian Reform,,,http://www.treasury.gov.za/documents/provincial%20budget/2017/4.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC/2.%20Estimates%20of%20Prov%20Rev%20and%20Exp/EC - Vote 08 - Rural Development and Agrarian Reform.pdf,2017,provincial
"Economic Development, Environmental Affairs and Tourism",Eastern Cape,"Vote 09 : Economic Development, Environmental Affairs and Tourism","etl-data/normalised/2017/Eastern Cape/Vote 09 : Economic Development, Environmental Affairs and Tourism.xlsm","etl-data/2017/Eastern Cape/EC - Eco Dev, Environment and Tourism.xlsm",,2017,provincial
